                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67129,                0.62429,                  1.232,                0.99478,                0.97436,                 0.9945,                0.90005,                 0.4913,                0.37961,                 1.1757,              0.0006536,              0.0006536,              0.0006536
                     36,                0.65988,                0.61838,                 1.2173,                0.97419,                0.97436,                0.99357,                0.90172,                0.47954,                0.36441,                 1.1775,               0.000614,               0.000614,               0.000614
                     37,                 0.6633,                0.58129,                 1.1913,                 0.9685,                0.94872,                0.99011,                0.89766,                0.49497,                 0.4342,                 1.1599,              0.0005744,              0.0005744,              0.0005744
                     38,                0.67854,                0.57879,                 1.2582,                0.94572,                      1,                0.99146,                0.90327,                   0.49,                0.42539,                 1.1585,              0.0005348,              0.0005348,              0.0005348
                     39,                0.68326,                0.58838,                 1.2145,                0.97031,                      1,                 0.9945,                0.89084,                0.48842,                0.39328,                 1.1746,              0.0004952,              0.0004952,              0.0004952
                     40,                0.60856,                0.53837,                 1.2163,                0.99685,                      1,                  0.995,                0.87457,                0.54139,                0.39207,                 1.2258,              0.0004556,              0.0004556,              0.0004556
                     41,                0.53038,                0.54684,                 1.1838,                0.99652,                      1,                  0.995,                0.88228,                0.52318,                0.36593,                 1.1893,               0.000416,               0.000416,               0.000416
                     42,                0.51672,                0.50438,                 1.1848,                0.79005,                      1,                0.90435,                0.82804,                0.43819,                0.39167,                 1.1292,              0.0003764,              0.0003764,              0.0003764
                     43,                0.52559,                0.45804,                 1.1914,                0.99738,                      1,                  0.995,                0.91177,                0.45927,                0.35022,                 1.1446,              0.0003368,              0.0003368,              0.0003368
                     44,                0.46541,                0.41465,                 1.1118,                0.97291,                      1,                  0.995,                0.90416,                0.47881,                0.37994,                 1.1519,              0.0002972,              0.0002972,              0.0002972
                     45,                0.48552,                0.40618,                 1.1406,                0.99747,                      1,                  0.995,                0.90251,                0.46665,                0.35035,                 1.1331,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.4763,                0.38247,                 1.1341,                0.99767,                      1,                  0.995,                0.92332,                0.43624,                0.32589,                 1.1225,               0.000218,               0.000218,               0.000218
                     47,                0.41092,                0.36733,                 1.0723,                0.99698,                      1,                  0.995,                0.91769,                0.41127,                0.31851,                 1.0969,              0.0001784,              0.0001784,              0.0001784
                     48,                0.44136,                 0.3877,                 1.1066,                0.99851,                      1,                  0.995,                0.92408,                0.42344,                0.31711,                 1.0912,              0.0001388,              0.0001388,              0.0001388
                     49,                0.40446,                0.34929,                  1.045,                      1,                0.99955,                  0.995,                0.92339,                 0.4165,                0.31264,                 1.0792,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.40092,                0.35368,                 1.0786,                      1,                0.99995,                  0.995,                0.91793,                0.40574,                0.30102,                 1.0752,               5.96e-05,               5.96e-05,               5.96e-05
